prepared_state,measured_0,measured_1,error_rate,error_type,noise_strength,gate_count,circuit_depth,has_h_gate
1,494,530,0.029296875,depolarizing,0.13950752241223566,7,9,1
0,536,488,0.0263671875,phase_flip,0.19947909416452542,16,17,1
0,526,498,0.0029296875,bit_flip,0.1427842428207319,17,18,1
1,561,463,0.4521484375,depolarizing,0.2418502413761793,8,10,1
1,505,519,0.00390625,phase_flip,0.2711946674635829,17,19,1
1,518,506,0.001953125,depolarizing,0.22817171623507532,5,7,1
1,529,495,0.37109375,bit_flip,0.37455454621467765,11,13,1
0,510,514,0.02734375,readout,0.3797182855562905,16,17,1
0,515,509,0.009765625,depolarizing,0.035224635405312926,17,18,1
1,512,512,0.2392578125,depolarizing,0.36048450409046096,19,21,1
0,520,504,0.4921875,depolarizing,0.3837662018197423,17,18,1
0,411,613,0.2568359375,readout,0.3249590625898283,7,8,1
0,478,546,0.466796875,readout,0.445463580910111,16,17,1
1,499,525,0.0029296875,bit_flip,0.3544469083853399,13,15,1
1,551,473,0.0537109375,phase_flip,0.367283853384911,7,9,0
1,475,549,0.4638671875,phase_flip,0.37714899115220674,5,7,1
1,522,502,0.0048828125,bit_flip,0.2547359221327898,19,21,1
1,485,539,0.3212890625,phase_flip,0.4377087312220363,10,12,1
1,329,695,0.3212890625,phase_flip,0.3175178956114835,5,7,0
0,559,465,0.4541015625,depolarizing,0.25957858587280397,7,8,1
0,717,307,0.1494140625,phase_flip,0.04650269178809368,18,19,1
1,827,197,0.03515625,depolarizing,0.010378897680751816,17,19,1
1,494,530,0.3076171875,depolarizing,0.309135815891634,12,14,1
0,207,817,0.052734375,readout,0.07582989194467112,5,6,1
1,511,513,0.001953125,bit_flip,0.19739340149217421,15,17,1
1,509,515,0.00390625,bit_flip,0.12213608400562558,17,19,1
0,359,665,0.3505859375,phase_flip,0.1072952044775971,9,10,1
1,512,512,0.00390625,phase_flip,0.15738541966254563,13,15,1
0,533,491,0.0126953125,depolarizing,0.2542173622430908,11,12,1
0,492,532,0.259765625,bit_flip,0.2743337925734462,19,20,1
0,507,517,0.4951171875,bit_flip,0.3538742393119719,15,16,1
0,498,526,0.486328125,phase_flip,0.1870664215603206,15,16,1
1,505,519,0.0126953125,depolarizing,0.22545897103903673,6,8,1
1,539,485,0.029296875,readout,0.25983784050421355,18,20,1
1,531,493,0.052734375,phase_flip,0.40352770397301624,13,15,1
