prepared_state,measured_0,measured_1,error_rate,error_label
0,976,48,0.046875,0
1,94,930,0.091796875,1
0,972,52,0.05078125,1
1,115,909,0.1123046875,1
0,973,51,0.0498046875,0
1,102,922,0.099609375,1
0,974,50,0.048828125,0
1,101,923,0.0986328125,1
0,979,45,0.0439453125,0
1,95,929,0.0927734375,1
0,978,46,0.044921875,0
1,105,919,0.1025390625,1
0,971,53,0.0517578125,1
1,101,923,0.0986328125,1
0,974,50,0.048828125,0
1,91,933,0.0888671875,1
0,963,61,0.0595703125,1
1,119,905,0.1162109375,1
0,971,53,0.0517578125,1
1,121,903,0.1181640625,1
0,961,63,0.0615234375,1
1,100,924,0.09765625,1
0,965,59,0.0576171875,1
1,105,919,0.1025390625,1
0,962,62,0.060546875,1
1,89,935,0.0869140625,1
0,974,50,0.048828125,0
1,114,910,0.111328125,1
0,974,50,0.048828125,0
1,95,929,0.0927734375,1
0,979,45,0.0439453125,0
1,110,914,0.107421875,1
0,967,57,0.0556640625,1
1,98,926,0.095703125,1
0,977,47,0.0458984375,0
1,93,931,0.0908203125,1
0,974,50,0.048828125,0
1,105,919,0.1025390625,1
0,968,56,0.0546875,1
1,102,922,0.099609375,1
0,960,64,0.0625,1
1,98,926,0.095703125,1
0,959,65,0.0634765625,1
1,117,907,0.1142578125,1
0,975,49,0.0478515625,0
1,89,935,0.0869140625,1
0,965,59,0.0576171875,1
1,102,922,0.099609375,1
0,974,50,0.048828125,0
1,106,918,0.103515625,1
0,975,49,0.0478515625,0
1,83,941,0.0810546875,1
0,963,61,0.0595703125,1
1,95,929,0.0927734375,1
0,973,51,0.0498046875,0
1,87,937,0.0849609375,1
0,980,44,0.04296875,0
1,81,943,0.0791015625,1
0,978,46,0.044921875,0
1,105,919,0.1025390625,1
0,960,64,0.0625,1
1,93,931,0.0908203125,1
0,982,42,0.041015625,0
1,102,922,0.099609375,1
0,982,42,0.041015625,0
1,95,929,0.0927734375,1
0,970,54,0.052734375,1
1,98,926,0.095703125,1
0,966,58,0.056640625,1
1,113,911,0.1103515625,1
0,967,57,0.0556640625,1
1,101,923,0.0986328125,1
0,974,50,0.048828125,0
1,97,927,0.0947265625,1
0,962,62,0.060546875,1
1,96,928,0.09375,1
0,964,60,0.05859375,1
